batch,loss,ACC
31,<<epoch || averaged loss>>,0.3973393142223358
1,0.2574176490306854,0.9161849710982659
690,0.13503654301166534,0.8872832369942196
32,<<epoch || averaged loss>>,0.39245419204235077
1,0.05885274335741997,0.8872832369942196
690,2.6422135829925537,0.8728323699421965
33,<<epoch || averaged loss>>,2.7010663263499737
1,0.2925862967967987,0.8728323699421965
690,0.014619553461670876,0.869942196531792
34,<<epoch || averaged loss>>,0.3072058502584696
1,0.017112450674176216,0.8670520231213873
690,0.05663788318634033,0.9132947976878613
35,<<epoch || averaged loss>>,0.07375033386051655
1,0.01573568396270275,0.884393063583815
690,0.02872859686613083,0.8930635838150289
36,<<epoch || averaged loss>>,0.04446428082883358
1,0.004111017566174269,0.9075144508670521
690,0.18123184144496918,0.8901734104046243
37,<<epoch || averaged loss>>,0.18534285901114345
1,1.4090512990951538,0.8815028901734104
690,0.3030620813369751,0.8959537572254336
38,<<epoch || averaged loss>>,1.712113380432129
1,0.1191810667514801,0.9132947976878613
690,0.1048557236790657,0.9075144508670521
39,<<epoch || averaged loss>>,0.2240367904305458
1,0.07564451545476913,0.9046242774566474
690,0.08247688412666321,0.8959537572254336
40,<<epoch || averaged loss>>,0.15812139958143234
1,0.058356139808893204,0.9017341040462428
690,0.03576456755399704,0.9046242774566474
41,<<epoch || averaged loss>>,0.09412070736289024
1,0.04171909764409065,0.9075144508670521
690,0.003791009308770299,0.8815028901734104
42,<<epoch || averaged loss>>,0.04551010695286095
1,0.029159121215343475,0.8641618497109826
690,0.001476282486692071,0.8930635838150289
43,<<epoch || averaged loss>>,0.030635403702035546
1,0.007005380466580391,0.8930635838150289
690,0.09669802337884903,0.8872832369942196
44,<<epoch || averaged loss>>,0.10370340384542942
1,0.005537832155823708,0.8641618497109826
690,0.035133231431245804,0.8815028901734104
45,<<epoch || averaged loss>>,0.04067106358706951
1,0.021950308233499527,0.8728323699421965
690,0.27698564529418945,0.9017341040462428
46,<<epoch || averaged loss>>,0.298935953527689
1,0.02542906068265438,0.9075144508670521
690,0.5648288130760193,0.8872832369942196
47,<<epoch || averaged loss>>,0.5902578737586737
1,0.03004525415599346,0.869942196531792
690,0.01763584092259407,0.9046242774566474
48,<<epoch || averaged loss>>,0.04768109507858753
1,0.69541335105896,0.8959537572254336
690,1.24286687374115,0.9075144508670521
49,<<epoch || averaged loss>>,1.9382802248001099
1,0.0923481211066246,0.9046242774566474
690,0.011377907358109951,0.8728323699421965
50,<<epoch || averaged loss>>,0.10372602846473455
1,0.06355850398540497,0.8959537572254336
690,0.021692095324397087,0.8901734104046243
51,<<epoch || averaged loss>>,0.08525059930980206
1,0.004904741421341896,0.8872832369942196
690,0.001437175553292036,0.8901734104046243
52,<<epoch || averaged loss>>,0.006341916974633932
1,0.0016068611294031143,0.8872832369942196
690,0.08176635205745697,0.9248554913294798
53,<<epoch || averaged loss>>,0.08337321318686008
1,0.01397100929170847,0.9219653179190751
690,0.0005304447840899229,0.8959537572254336
54,<<epoch || averaged loss>>,0.014501454075798392
1,0.01018811296671629,0.8901734104046243
690,0.6302510499954224,0.8728323699421965
55,<<epoch || averaged loss>>,0.6404391629621387
1,0.02934715524315834,0.861271676300578
690,0.026980780065059662,0.8988439306358381
56,<<epoch || averaged loss>>,0.056327935308218
1,0.041498441249132156,0.9017341040462428
690,0.13053464889526367,0.9046242774566474
57,<<epoch || averaged loss>>,0.17203309014439583
1,0.003267246298491955,0.9104046242774566
690,0.013765957206487656,0.9046242774566474
58,<<epoch || averaged loss>>,0.01703320350497961
1,1.4023467302322388,0.9132947976878613
690,0.004502878058701754,0.884393063583815
59,<<epoch || averaged loss>>,1.4068496082909405
1,0.09211128950119019,0.8930635838150289
690,0.02601686865091324,0.8930635838150289
60,<<epoch || averaged loss>>,0.11812815815210342
1,0.514710545539856,0.8959537572254336
690,0.2835389971733093,0.9132947976878613
61,<<epoch || averaged loss>>,0.7982495427131653
1,0.000395026319893077,0.9132947976878613
690,0.0005253960844129324,0.9104046242774566
62,<<epoch || averaged loss>>,0.0009204224043060094
1,0.0010835868306457996,0.9075144508670521
690,0.002575536025688052,0.869942196531792
63,<<epoch || averaged loss>>,0.003659122856333852
1,0.04761204496026039,0.8757225433526011
690,0.07516073435544968,0.8959537572254336
64,<<epoch || averaged loss>>,0.12277277931571007
1,0.14292187988758087,0.8988439306358381
690,0.0023999162949621677,0.9046242774566474
65,<<epoch || averaged loss>>,0.14532179618254304
1,0.008447742089629173,0.9075144508670521
690,0.8095804452896118,0.9017341040462428
66,<<epoch || averaged loss>>,0.818028187379241
1,0.0024572880938649178,0.9075144508670521
690,0.07489971071481705,0.8728323699421965
67,<<epoch || averaged loss>>,0.07735699880868196
1,0.0016380846500396729,0.8641618497109826
690,0.001344828400760889,0.8872832369942196
68,<<epoch || averaged loss>>,0.002982913050800562
1,0.09174081683158875,0.8670520231213873
690,0.04933760687708855,0.884393063583815
69,<<epoch || averaged loss>>,0.1410784237086773
1,0.15835511684417725,0.8872832369942196
690,0.0008115128148347139,0.9017341040462428
70,<<epoch || averaged loss>>,0.15916662965901196
1,0.14443650841712952,0.9075144508670521
690,0.08658170700073242,0.9104046242774566
71,<<epoch || averaged loss>>,0.23101821541786194
1,0.17000648379325867,0.9190751445086706
690,0.9741725325584412,0.8670520231213873
72,<<epoch || averaged loss>>,1.1441790163516998
1,0.014537294395267963,0.8526011560693642
690,0.2095855325460434,0.8959537572254336
73,<<epoch || averaged loss>>,0.22412282694131136
1,0.10187889635562897,0.8872832369942196
690,0.2794356644153595,0.9046242774566474
74,<<epoch || averaged loss>>,0.38131456077098846
1,0.09725916385650635,0.9190751445086706
690,0.005423192400485277,0.9046242774566474
75,<<epoch || averaged loss>>,0.10268235625699162
1,0.055188555270433426,0.9017341040462428
690,0.8038492202758789,0.9046242774566474
76,<<epoch || averaged loss>>,0.8590377755463123
1,0.13882240653038025,0.9190751445086706
690,0.0023119845427572727,0.9104046242774566
77,<<epoch || averaged loss>>,0.14113439107313752
1,2.4078428745269775,0.9132947976878613
690,0.0003243424871470779,0.8988439306358381
78,<<epoch || averaged loss>>,2.4081672170141246
1,0.009826313704252243,0.9132947976878613
690,0.001853397348895669,0.9104046242774566
79,<<epoch || averaged loss>>,0.011679711053147912
1,0.5243858098983765,0.9075144508670521
690,0.055602654814720154,0.9017341040462428
80,<<epoch || averaged loss>>,0.5799884647130966
1,0.10020532459020615,0.8988439306358381
690,0.0069504124112427235,0.8872832369942196
81,<<epoch || averaged loss>>,0.10715573700144887
1,0.005518832243978977,0.8959537572254336
690,0.009260417893528938,0.8930635838150289
82,<<epoch || averaged loss>>,0.014779250137507915
1,0.0032188615296036005,0.9017341040462428
690,0.00430231774225831,0.8959537572254336
83,<<epoch || averaged loss>>,0.007521179271861911
1,0.0009486887138336897,0.9046242774566474
690,0.1669764667749405,0.9132947976878613
84,<<epoch || averaged loss>>,0.16792515548877418
1,0.013716466724872589,0.9161849710982659
690,0.00023528480960521847,0.8930635838150289
85,<<epoch || averaged loss>>,0.013951751534477808
1,0.44070613384246826,0.9046242774566474
690,0.0005101982969790697,0.8757225433526011
86,<<epoch || averaged loss>>,0.44121633213944733
1,0.0021351741161197424,0.869942196531792
690,0.013894191011786461,0.8872832369942196
87,<<epoch || averaged loss>>,0.016029365127906203
1,0.3361518979072571,0.9046242774566474
690,0.07750848680734634,0.9017341040462428
88,<<epoch || averaged loss>>,0.4136603847146034
1,0.3894445300102234,0.8872832369942196
690,0.006960172206163406,0.8872832369942196
89,<<epoch || averaged loss>>,0.3964047022163868
1,0.008814146742224693,0.8872832369942196
690,0.0014951333869248629,0.9161849710982659
90,<<epoch || averaged loss>>,0.010309280129149556
1,0.0009063553879968822,0.9046242774566474
690,0.46843406558036804,0.8930635838150289
91,<<epoch || averaged loss>>,0.4693404209683649
1,0.2819085419178009,0.8872832369942196
690,0.0011302635539323092,0.884393063583815
92,<<epoch || averaged loss>>,0.2830388054717332
1,0.002382345963269472,0.8901734104046243
690,0.3808799386024475,0.8786127167630058
93,<<epoch || averaged loss>>,0.383262284565717
1,0.3643747866153717,0.8786127167630058
690,0.02963361144065857,0.9075144508670521
94,<<epoch || averaged loss>>,0.3940083980560303
1,0.0007372368709184229,0.8901734104046243
690,0.133705735206604,0.9017341040462428
95,<<epoch || averaged loss>>,0.13444297207752243
1,0.000558806408662349,0.9046242774566474
690,0.0006767272716388106,0.8988439306358381
96,<<epoch || averaged loss>>,0.0012355336803011596
1,0.0004356090212240815,0.8930635838150289
690,0.02236735075712204,0.8901734104046243
97,<<epoch || averaged loss>>,0.02280295977834612
1,0.0001673536899033934,0.8728323699421965
690,0.10903681814670563,0.8786127167630058
98,<<epoch || averaged loss>>,0.10920417183660902
1,0.0037158257327973843,0.8959537572254336
690,0.0006985963555052876,0.9046242774566474
99,<<epoch || averaged loss>>,0.004414422088302672
1,0.06237640976905823,0.9017341040462428
690,0.036122214049100876,0.8728323699421965
100,<<epoch || averaged loss>>,0.0984986238181591
1,0.05119011551141739,0.8930635838150289
690,0.001987633528187871,0.8583815028901735
101,<<epoch || averaged loss>>,0.05317774903960526
1,0.01449346449226141,0.846820809248555
690,0.00423029251396656,0.8005780346820809
102,<<epoch || averaged loss>>,0.01872375700622797
1,0.021104969084262848,0.7976878612716763
690,0.1243949607014656,0.8901734104046243
103,<<epoch || averaged loss>>,0.14549992978572845
1,0.007795294281095266,0.9017341040462428
690,0.0010505255777388811,0.8959537572254336
104,<<epoch || averaged loss>>,0.008845819858834147
1,0.9612390398979187,0.884393063583815
690,0.002724559511989355,0.8728323699421965
105,<<epoch || averaged loss>>,0.9639635994099081
1,0.23877330124378204,0.884393063583815
690,0.00574679346755147,0.9104046242774566
106,<<epoch || averaged loss>>,0.2445200947113335
1,0.06432090699672699,0.9046242774566474
690,0.005281765945255756,0.8757225433526011
